ID,TenTask,YeuCauKyNang,ThoiLuong (gio),PhuThuoc,Deadline (ngay),DoUuTien
T01,Gather Requirements,Analysis,6,,2,5
T02,Create Design Doc,Design,5,T01,3,4
T03,Setup Database,Database,6,T02,4,4
T04,Backend API Dev,Backend,8,T03,5,5
T05,Frontend Layout,Frontend,7,T04,6,4
T06,Integration Test,Testing,5,T05,8,5
T07,Final Review,ProjectManage,4,T06,9,3
T08,Task 8,Frontend,4,,7,3
T09,Task 9,Frontend,4,,7,3
T10,Task 10,Frontend,4,,7,3
T11,Task 11,Frontend,4,,7,3
T12,Task 12,Frontend,4,,7,3
T13,Task 13,Frontend,4,,7,3
T14,Task 14,Frontend,4,,7,3
T15,Task 15,Frontend,4,,7,3
T16,Task 16,Frontend,4,,7,3
T17,Task 17,Frontend,4,,7,3
T18,Task 18,Frontend,4,,7,3
T19,Task 19,Frontend,4,,7,3
T20,Task 20,Frontend,4,,7,3
T21,Task 21,Frontend,4,,7,3
T22,Task 22,Frontend,4,,7,3
T23,Task 23,Frontend,4,,7,3
T24,Task 24,Frontend,4,,7,3
T25,Task 25,Frontend,4,,7,3
