ID,TenTask,YeuCauKyNang,ThoiLuong (gio),PhuThuoc,Deadline (ngay),DoUuTien
T01,Homepage UI,Frontend,4,,3,3
T02,User API,Backend,6,,4,4
T03,Login Test,Testing,4,T02,5,3
T04,Design Banner,Design,3,,4,2
T05,HTML Template,HTML,5,,4,3
T6,Task 6,Frontend,4,,7,3
T7,Task 7,Frontend,4,,7,3
T8,Task 8,Frontend,4,,7,3
T9,Task 9,Frontend,4,,7,3
T10,Task 10,Frontend,4,,7,3
T11,Task 11,Frontend,4,,7,3
T12,Task 12,Frontend,4,,7,3
T13,Task 13,Frontend,4,,7,3
T14,Task 14,Frontend,4,,7,3
T15,Task 15,Frontend,4,,7,3
T16,Task 16,Frontend,4,,7,3
T17,Task 17,Frontend,4,,7,3
T18,Task 18,Frontend,4,,7,3
T19,Task 19,Frontend,4,,7,3
T20,Task 20,Frontend,4,,7,3
T21,Task 21,Frontend,4,,7,3
T22,Task 22,Frontend,4,,7,3
T23,Task 23,Frontend,4,,7,3
T24,Task 24,Frontend,4,,7,3
T25,Task 25,Frontend,4,,7,3
T26,Task 26,Frontend,4,,7,3
T27,Task 27,Frontend,4,,7,3
T28,Task 28,Frontend,4,,7,3
T29,Task 29,Frontend,4,,7,3
T30,Task 30,Frontend,4,,7,3
